checklist_id,observer_id,sampling_event_identifier,scientific_name,observation_count,state_code,locality_id,latitude,longitude,protocol_type,all_species_reported,observation_date,year,day_of_year,time_observations_started,duration_minutes,effort_distance_km,number_observers,species_observed
S6558519,obsr1151,S6558519,Cardinalis cardinalis,7,US-IL,L207016,42.1470902,-87.7895394,Traveling,TRUE,2010-06-19,2010,170,7.5,255,3.219,5,TRUE
S11817388,obsr97529,S11817388,Cardinalis cardinalis,2,US-IL,L858057,41.8284115,-87.9320255,Stationary,TRUE,2010-06-04,2010,155,7.166666666666667,5,0,1,TRUE
S11817396,obsr97529,S11817396,Cardinalis cardinalis,1,US-IL,L858056,41.8262509,-87.9413065,Stationary,TRUE,2010-06-19,2010,170,8.016666666666667,5,0,1,TRUE
S6588046,obsr193344,S6588046,Cardinalis cardinalis,2,US-IL,L926658,41.9622345,-88.0748177,Traveling,TRUE,2010-06-29,2010,180,8.5,10,0.322,1,TRUE
S11817346,obsr97529,S11817346,Cardinalis cardinalis,1,US-IL,L1778762,41.8901621,-88.0471057,Stationary,TRUE,2010-06-28,2010,179,7.25,5,0,1,TRUE
S6553863,obsr129696,S6553863,Cardinalis cardinalis,1,US-IL,L912793,41.49902,-87.76901,Stationary,TRUE,2010-06-11,2010,162,12.5,20,0,2,TRUE
S6587117,obsr57433,S6587117,Cardinalis cardinalis,3,US-IL,L912458,41.6357485,-88.1933498,Traveling,TRUE,2010-06-29,2010,180,9.083333333333334,35,1.448,1,TRUE
S6513519,obsr189813,S6513519,Cardinalis cardinalis,1,US-IL,L924668,42.1163942,-87.9597938,Stationary,TRUE,2010-06-05,2010,156,6.75,5,0,1,TRUE
S6551583,obsr103146,S6551583,Cardinalis cardinalis,4,US-IL,L427232,41.9303792,-88.4279251,Traveling,TRUE,2010-06-17,2010,168,6.5,155,4.023,1,TRUE
S6581273,obsr114260,S6581273,Cardinalis cardinalis,1,US-IL,L940784,41.1696738,-89.2890644,Traveling,TRUE,2010-06-27,2010,178,8,30,0.402,2,TRUE
S11752960,obsr326314,S11752960,Cardinalis cardinalis,1,US-IL,L1772849,42.294706,-88.1238633,Stationary,TRUE,2010-06-11,2010,162,8,10,0,1,TRUE
S6551814,obsr106714,S6551814,Cardinalis cardinalis,1,US-IL,L554913,41.6757527,-87.9072922,Stationary,TRUE,2010-06-17,2010,168,7.65,5,0,1,TRUE
S6502407,obsr34033,S6502407,Cardinalis cardinalis,1,US-IL,L922153,41.8294444,-87.8880556,Stationary,TRUE,2010-06-05,2010,156,7.5,5,0,1,TRUE
S11753222,obsr326314,S11753222,Cardinalis cardinalis,2,US-IL,L1772738,42.1724462,-87.9132962,Stationary,TRUE,2010-06-05,2010,156,5.616666666666667,10,0,1,TRUE
S6505463,obsr106714,S6505463,Cardinalis cardinalis,6,US-IL,L746913,41.7325,-87.8875,Traveling,TRUE,2010-06-05,2010,156,13.383333333333333,82,3.605,1,TRUE
S11753227,obsr326314,S11753227,Cardinalis cardinalis,1,US-IL,L1772745,42.1672787,-88.1114103,Stationary,TRUE,2010-06-17,2010,168,8,10,0,1,TRUE
S6551113,obsr211276,S6551113,Cardinalis cardinalis,4,US-IL,L868990,41.950298600000004,-87.7117538,Traveling,TRUE,2010-06-13,2010,164,6.95,33,2.575,1,TRUE
S11752992,obsr326314,S11752992,Cardinalis cardinalis,1,US-IL,L1772859,42.3109243,-88.1366794,Stationary,TRUE,2010-06-11,2010,162,8,10,0,1,TRUE
S6494804,obsr195101,S6494804,Cardinalis cardinalis,,US-IL,L798381,41.2810961,-89.0202427,Traveling,TRUE,2010-06-03,2010,154,6,60,1.609,1,FALSE
S6561276,obsr103949,S6561276,Cardinalis cardinalis,1,US-IL,L690663,42.08762,-88.21887,Stationary,TRUE,2010-06-15,2010,166,8.083333333333334,5,0,1,TRUE
S6639290,obsr47764,S6639290,Cardinalis cardinalis,4,US-IL,L853163,41.481797,-90.477864,Stationary,TRUE,2010-06-16,2010,167,7.833333333333333,5,0,1,TRUE
S6639331,obsr47764,S6639331,Cardinalis cardinalis,1,US-IL,L795695,41.4757245,-90.5152631,Stationary,TRUE,2010-06-16,2010,167,10.583333333333334,5,0,1,TRUE
S11817407,obsr97529,S11817407,Cardinalis cardinalis,1,US-IL,L390731,41.7434556,-88.0803954,Stationary,TRUE,2010-06-24,2010,175,5.916666666666667,5,0,1,TRUE
S11817405,obsr97529,S11817405,Cardinalis cardinalis,1,US-IL,L390731,41.7434556,-88.0803954,Stationary,TRUE,2010-06-07,2010,158,5.616666666666667,5,0,1,TRUE
S6543725,obsr121187,S6543725,Cardinalis cardinalis,2,US-IL,L565610,41.7151614,-87.9140756,Traveling,TRUE,2010-06-15,2010,166,8,120,3.219,1,TRUE
S11752815,obsr326314,S11752815,Cardinalis cardinalis,1,US-IL,L1772802,42.2557245,-88.1290357,Stationary,TRUE,2010-06-10,2010,161,8,10,0,1,TRUE
S11817592,obsr97529,S11817592,Cardinalis cardinalis,1,US-IL,L858047,41.9616537,-88.0763878,Stationary,TRUE,2010-06-24,2010,175,7.833333333333333,5,0,1,TRUE
S6534480,obsr57433,S6534480,Cardinalis cardinalis,5,US-IL,L929076,41.5287256,-88.701673,Stationary,TRUE,2010-06-07,2010,158,6.416666666666667,5,0,1,TRUE
S11753034,obsr326314,S11753034,Cardinalis cardinalis,1,US-IL,L1772871,42.336364,-88.1529563,Stationary,TRUE,2010-06-21,2010,172,8,10,0,1,TRUE
S6599003,obsr223582,S6599003,Cardinalis cardinalis,,US-IL,L990111,41.85634,-88.0786,Traveling,TRUE,2010-06-22,2010,173,8.833333333333334,85,1.609,1,FALSE
S6536211,obsr106714,S6536211,Cardinalis cardinalis,1,US-IL,L558336,41.6609459,-87.9280955,Stationary,TRUE,2010-06-12,2010,163,6.716666666666667,5,0,1,TRUE
S6553842,obsr34033,S6553842,Cardinalis cardinalis,3,US-IL,L152701,41.6430289,-87.5289345,Traveling,TRUE,2010-06-18,2010,169,9.916666666666666,40,2.414,1,TRUE
S9024657,obsr146134,S9024657,Cardinalis cardinalis,1,US-IL,L565381,41.9250675,-88.3481043,Stationary,TRUE,2010-06-13,2010,164,6.333333333333333,5,0,2,TRUE
S6886544,obsr1151,S6886544,Cardinalis cardinalis,1,US-IL,L311824,42.0309342,-88.0101013,Traveling,TRUE,2010-06-21,2010,172,10.583333333333334,70,1.287,1,TRUE
S6564508,obsr195101,S6564508,Cardinalis cardinalis,,US-IL,L752627,41.2419972,-88.6476517,Stationary,TRUE,2010-06-09,2010,160,18.5,60,0,1,FALSE
S6783887,obsr47764,S6783887,Cardinalis cardinalis,3,US-IL,L980557,41.5030173,-90.5514944,Stationary,TRUE,2010-06-16,2010,167,6.666666666666667,5,0,1,TRUE
S6541568,obsr114260,S6541568,Cardinalis cardinalis,2,US-IL,L930578,41.989752,-88.1350493,Traveling,TRUE,2010-06-14,2010,165,8.1,16,0.161,2,TRUE
S6498191,obsr123174,S6498191,Cardinalis cardinalis,4,US-IL,L108479,41.8751829,-87.7698144,Traveling,TRUE,2010-06-04,2010,155,7.833333333333333,175,4.828,1,TRUE
S11752951,obsr326314,S11752951,Cardinalis cardinalis,1,US-IL,L1772844,42.2815234,-88.0868881,Stationary,TRUE,2010-06-21,2010,172,8,10,0,1,TRUE
S6574966,obsr222736,S6574966,Cardinalis cardinalis,1,US-IL,L939413,42.1447314,-88.0588947,Stationary,TRUE,2010-06-10,2010,161,5.633333333333333,5,0,1,TRUE
S6707636,obsr184235,S6707636,Cardinalis cardinalis,4,US-IL,L3176152,42.3988557,-88.1265146,Traveling,TRUE,2010-06-21,2010,172,6.75,125,4.023,1,TRUE
S6587949,obsr14689,S6587949,Cardinalis cardinalis,1,US-IL,L107059,42.16809,-88.10461,Stationary,TRUE,2010-06-13,2010,164,6.166666666666667,5,0,1,TRUE
S6645112,obsr47764,S6645112,Cardinalis cardinalis,1,US-IL,L853157,41.507831,-90.520458,Stationary,TRUE,2010-06-22,2010,173,8.583333333333334,5,0,1,TRUE
S6541119,obsr151447,S6541119,Cardinalis cardinalis,1,US-IL,L737399,42.1460485,-87.9027915,Stationary,TRUE,2010-06-10,2010,161,8.916666666666666,5,0,2,TRUE
S6547654,obsr34033,S6547654,Cardinalis cardinalis,1,US-IL,L932088,41.8297222,-87.8852778,Stationary,TRUE,2010-06-16,2010,167,7.683333333333334,5,0,1,TRUE
S6990630,obsr18573,S6990630,Cardinalis cardinalis,1,US-IL,L142720,42.2205544,-88.58078,Stationary,TRUE,2010-06-10,2010,161,6.583333333333333,5,0,2,TRUE
S6579969,obsr106714,S6579969,Cardinalis cardinalis,1,US-IL,L560774,41.648869500000004,-87.9142284,Stationary,TRUE,2010-06-26,2010,177,6.566666666666666,5,0,1,TRUE
S11752666,obsr326314,S11752666,Cardinalis cardinalis,1,US-IL,L1772753,42.1782099,-87.9165033,Stationary,TRUE,2010-06-05,2010,156,8,10,0,1,TRUE
S11817314,obsr97529,S11817314,Cardinalis cardinalis,2,US-IL,L858006,41.8117443,-88.2472624,Stationary,TRUE,2010-06-24,2010,175,7.75,5,0,1,TRUE
S6505068,obsr106714,S6505068,Cardinalis cardinalis,2,US-IL,L558329,41.6583489,-87.9277977,Stationary,TRUE,2010-06-05,2010,156,7.266666666666667,5,0,1,TRUE
S11752828,obsr326314,S11752828,Cardinalis cardinalis,1,US-IL,L1772804,42.2564214,-88.0941532,Stationary,TRUE,2010-06-18,2010,169,8,10,0,1,TRUE
S11817353,obsr97529,S11817353,Cardinalis cardinalis,1,US-IL,L857536,41.7587511,-88.0971461,Stationary,TRUE,2010-06-30,2010,181,6.416666666666667,5,0,1,TRUE
S6575629,obsr193344,S6575629,Cardinalis cardinalis,1,US-IL,L926658,41.9622345,-88.0748177,Traveling,TRUE,2010-06-24,2010,175,8.666666666666666,10,0.322,1,TRUE
S6575099,obsr193344,S6575099,Cardinalis cardinalis,1,US-IL,L926658,41.9622345,-88.0748177,Traveling,TRUE,2010-06-17,2010,168,7.666666666666667,10,0.322,1,TRUE
S6575362,obsr103949,S6575362,Cardinalis cardinalis,1,US-IL,L552739,42.0497222,-88.1983333,Stationary,TRUE,2010-06-09,2010,160,9.566666666666666,5,0,1,TRUE
S6574146,obsr189813,S6574146,Cardinalis cardinalis,1,US-IL,L924668,42.1163942,-87.9597938,Stationary,TRUE,2010-06-25,2010,176,6.066666666666666,5,0,1,TRUE
S6783897,obsr47764,S6783897,Cardinalis cardinalis,2,US-IL,L980556,41.5032945,-90.5501157,Stationary,TRUE,2010-06-16,2010,167,6.833333333333333,5,0,1,TRUE
S6560179,obsr114260,S6560179,Cardinalis cardinalis,4,US-IL,L935619,41.3443401,-88.2222748,Traveling,TRUE,2010-06-19,2010,170,5.75,105,2.897,1,TRUE
S6499757,obsr159213,S6499757,Cardinalis cardinalis,12,US-IL,L685606,39.2910082,-90.7257843,Stationary,TRUE,2010-06-04,2010,155,6.266666666666667,74,0,1,TRUE
S6505628,obsr103255,S6505628,Cardinalis cardinalis,5,US-IL,L4202,41.8323,-88.205,Traveling,TRUE,2010-06-05,2010,156,11,35,4.828,2,TRUE
S11752650,obsr326314,S11752650,Cardinalis cardinalis,1,US-IL,L1772746,42.1676781,-88.0982756,Stationary,TRUE,2010-06-21,2010,172,8,10,0,1,TRUE
S6580348,obsr27185,S6580348,Cardinalis cardinalis,,US-IL,L2340416,41.9572041,-87.6425958,Traveling,TRUE,2010-06-27,2010,178,7.5,150,4.828,1,FALSE
S9024670,obsr146134,S9024670,Cardinalis cardinalis,1,US-IL,L565382,41.9231174,-88.3481605,Stationary,TRUE,2010-06-13,2010,164,6.533333333333333,5,0,2,TRUE
S6534463,obsr57433,S6534463,Cardinalis cardinalis,2,US-IL,L929066,41.5304973,-88.6044536,Stationary,TRUE,2010-06-07,2010,158,5.5,5,0,1,TRUE
S6575457,obsr103949,S6575457,Cardinalis cardinalis,1,US-IL,L690663,42.08762,-88.21887,Stationary,TRUE,2010-06-25,2010,176,8,5,0,1,TRUE
S11752712,obsr326314,S11752712,Cardinalis cardinalis,1,US-IL,L1772772,42.2184916,-87.8108722,Stationary,TRUE,2010-06-24,2010,175,8,10,0,1,TRUE
S6586236,obsr168773,S6586236,Cardinalis cardinalis,3,US-IL,L628760,40.7666153,-89.0674925,Traveling,TRUE,2010-06-28,2010,179,11.083333333333334,80,1.609,1,TRUE
S6591270,obsr114260,S6591270,Cardinalis cardinalis,1,US-IL,L942946,42.0680917,-88.0691957,Traveling,TRUE,2010-06-30,2010,181,7.75,15,0.229,1,TRUE
S6535256,obsr57433,S6535256,Cardinalis cardinalis,2,US-IL,L929309,41.5429905,-88.849636,Stationary,TRUE,2010-06-07,2010,158,7.833333333333333,5,0,1,TRUE
S6551939,obsr106714,S6551939,Cardinalis cardinalis,1,US-IL,L559759,41.6472701,-87.9215562,Stationary,TRUE,2010-06-17,2010,168,9.066666666666666,5,0,1,TRUE
S6531346,obsr154066,S6531346,Cardinalis cardinalis,5,US-IL,L152643,41.9733,-87.7302,Traveling,TRUE,2010-06-12,2010,163,5.5,90,3.46,2,TRUE
S6645064,obsr47764,S6645064,Cardinalis cardinalis,2,US-IL,L795670,41.480417,-90.460378,Stationary,TRUE,2010-06-22,2010,173,5.333333333333333,5,0,1,TRUE
S6596806,obsr11014,S6596806,Cardinalis cardinalis,1,US-IL,L83510,42.2759498,-87.9156715,Stationary,TRUE,2010-06-25,2010,176,8.583333333333334,5,0,1,TRUE
S6525241,obsr183305,S6525241,Cardinalis cardinalis,2,US-IL,L899093,41.974232,-87.6815414,Traveling,TRUE,2010-06-10,2010,161,6.5,60,1.609,1,TRUE
S16727517,obsr114944,S16727517,Cardinalis cardinalis,,US-IL,L965030,42.2813254,-89.0506697,Traveling,TRUE,2010-06-29,2010,180,8,120,1.609,1,FALSE
S16751529,obsr114944,S16751529,Cardinalis cardinalis,,US-IL,L965030,42.2813254,-89.0506697,Traveling,TRUE,2010-06-15,2010,166,9,60,0.805,1,FALSE
S11753024,obsr326314,S11753024,Cardinalis cardinalis,1,US-IL,L1772869,42.3345175,-88.1432813,Stationary,TRUE,2010-06-18,2010,169,8,10,0,1,TRUE
S6561658,obsr181441,S6561658,Cardinalis cardinalis,1,US-IL,L152642,42.4222,-88.3197,Traveling,TRUE,2010-06-18,2010,169,7,120,3.219,2,TRUE
S6553777,obsr34033,S6553777,Cardinalis cardinalis,1,US-IL,L125053,41.6401425,-87.552194600000007,Traveling,TRUE,2010-06-18,2010,169,8.916666666666666,25,1.931,1,TRUE
S11817593,obsr97529,S11817593,Cardinalis cardinalis,1,US-IL,L858044,41.960914,-88.0719162,Stationary,TRUE,2010-06-10,2010,161,7.583333333333333,5,0,1,TRUE
S63309648,obsr424136,S63309648,Cardinalis cardinalis,1,US-IL,L10022681,41.35862,-88.17767,Stationary,TRUE,2010-06-04,2010,155,8.066666666666666,5,0,1,TRUE
S8602526,obsr276026,S8602526,Cardinalis cardinalis,1,US-IL,L190439,42.19692,-88.09338,Stationary,TRUE,2010-06-25,2010,176,10.5,10,0,1,TRUE
S6546868,obsr44684,S6546868,Cardinalis cardinalis,5,US-IL,L179636,41.8326,-87.9449,Traveling,TRUE,2010-06-10,2010,161,9.083333333333334,70,2.092,1,TRUE
S7006928,obsr222607,S7006928,Cardinalis cardinalis,1,US-IL,L938253,42.16759,-88.10602,Stationary,TRUE,2010-06-29,2010,180,8.35,5,0,1,TRUE
S6536341,obsr106714,S6536341,Cardinalis cardinalis,1,US-IL,L558323,41.6549982,-87.9261374,Stationary,TRUE,2010-06-12,2010,163,7.583333333333333,5,0,1,TRUE
S11752781,obsr326314,S11752781,Cardinalis cardinalis,1,US-IL,L1772795,42.2492259,-88.1180027,Stationary,TRUE,2010-06-08,2010,159,8,10,0,1,TRUE
S11752861,obsr326314,S11752861,Cardinalis cardinalis,1,US-IL,L1772812,42.2608183,-88.0904915,Stationary,TRUE,2010-06-18,2010,169,8,10,0,1,TRUE
S6589875,obsr106714,S6589875,Cardinalis cardinalis,2,US-IL,L4300325,41.789608,-87.599646,Traveling,TRUE,2010-06-30,2010,181,8.666666666666666,15,0.789,1,TRUE
S11752997,obsr326314,S11752997,Cardinalis cardinalis,2,US-IL,L1772847,42.3117551,-87.9594787,Stationary,TRUE,2010-06-24,2010,175,8,10,0,1,TRUE
S7033573,obsr102539,S7033573,Cardinalis cardinalis,1,US-IL,L1009672,41.97,-87.7025,Stationary,TRUE,2010-06-11,2010,162,7,10,0,1,TRUE
S6526145,obsr34033,S6526145,Cardinalis cardinalis,7,US-IL,L335462,41.6738368,-87.8607638,Traveling,TRUE,2010-06-10,2010,161,5,245,3.54,1,TRUE
S7006946,obsr222607,S7006946,Cardinalis cardinalis,1,US-IL,L938254,42.17041,-88.10908,Stationary,TRUE,2010-06-29,2010,180,7.966666666666667,5,0,1,TRUE
S6990635,obsr18573,S6990635,Cardinalis cardinalis,1,US-IL,L142728,42.2213821,-88.5846939,Stationary,TRUE,2010-06-10,2010,161,6.75,5,0,2,TRUE
S11752589,obsr326314,S11752589,Cardinalis cardinalis,1,US-IL,L1772723,42.4896026,-87.8131248,Stationary,TRUE,2010-06-04,2010,155,8,10,0,1,TRUE
S6526726,obsr106714,S6526726,Cardinalis cardinalis,1,US-IL,L554968,41.6703834,-87.9077643,Stationary,TRUE,2010-06-10,2010,161,6.45,5,0,1,TRUE
S6572814,obsr183132,S6572814,Cardinalis cardinalis,1,US-IL,L939064,39.0426862,-89.7661114,Traveling,TRUE,2010-06-22,2010,173,12.883333333333333,12,1.609,1,TRUE
S6534457,obsr57433,S6534457,Cardinalis cardinalis,1,US-IL,L929060,41.5247137,-88.5686276,Stationary,TRUE,2010-06-07,2010,158,4.916666666666667,5,0,1,TRUE
S6645094,obsr47764,S6645094,Cardinalis cardinalis,6,US-IL,L795678,41.4813833,-90.568006,Stationary,TRUE,2010-06-22,2010,173,7.666666666666667,5,0,1,TRUE
S11817560,obsr97529,S11817560,Cardinalis cardinalis,1,US-IL,L857557,41.7886642,-88.1774069,Stationary,TRUE,2010-06-04,2010,155,7.083333333333333,5,0,1,TRUE
S6573465,obsr187327,S6573465,Cardinalis cardinalis,1,US-IL,L296334,40.4099915,-88.7319517,Traveling,TRUE,2010-06-24,2010,175,18,90,1.609,1,TRUE
S11752787,obsr326314,S11752787,Cardinalis cardinalis,1,US-IL,L1772796,42.249311,-87.9398282,Stationary,TRUE,2010-06-02,2010,153,8,10,0,1,TRUE
S6526682,obsr106714,S6526682,Cardinalis cardinalis,1,US-IL,L554961,41.6731082,-87.9058599,Stationary,TRUE,2010-06-10,2010,161,6.183333333333334,5,0,1,TRUE
S6582182,obsr155985,S6582182,Cardinalis cardinalis,3,US-IL,L559048,42.1415301,-87.8311872,Traveling,TRUE,2010-06-13,2010,164,6.2,128,1.609,1,TRUE
S6580919,obsr106714,S6580919,Cardinalis cardinalis,1,US-IL,L940721,41.6761173,-87.903757100000007,Traveling,TRUE,2010-06-26,2010,177,9.283333333333333,49,1.464,1,TRUE
