"","species_observed","year","day_of_year","time_observations_started","duration_minutes","effort_distance_km","number_observers","pland_00_water","pland_01_evergreen_needleleaf","pland_03_deciduous_needleleaf","pland_04_deciduous_broadleaf","pland_05_mixed_forest","pland_08_woody_savanna","pland_09_savanna","pland_10_grassland","pland_11_wetland","pland_12_cropland","pland_13_urban","pland_14_mosiac","pland_15_barren","elevation_median","elevation_sd"
"19","FALSE",2010,153,8,10,0,1,0,0,0,0.1875,0,0.03125,0.4375,0.0625,0,0,0.28125,0,0,209.051391143457,4.0419807053798
"21","FALSE",2010,152,7.75,5,0,1,0,0,0,0.0333333333333333,0,0,0.333333333333333,0.4,0,0.0666666666666667,0.166666666666667,0,0,259.677197933948,3.78279816051938
"22","FALSE",2010,154,11.6666666666667,3,1.609,1,0,0,0,0,0,0,0.032258064516129,0,0,0,0.967741935483871,0,0,205.346609652709,4.60899982706525
"23","FALSE",2010,154,11.6333333333333,3,1.609,1,0,0,0,0.103448275862069,0,0,0.137931034482759,0.0344827586206897,0,0,0.724137931034483,0,0,202.961352216938,3.00077659522376
"24","FALSE",2010,152,8.33333333333333,25,0.402,1,0,0,0,0.0645161290322581,0,0.032258064516129,0.548387096774194,0.225806451612903,0,0.129032258064516,0,0,0,258.480481098987,4.09793069759433
"25","FALSE",2010,154,11.4,3,1.609,1,0,0,0,0.0645161290322581,0,0,0.258064516129032,0.0645161290322581,0,0,0.612903225806452,0,0,205.073951447253,4.33991287680394
"26","FALSE",2010,153,7.38333333333333,3,1.609,1,0,0,0,0,0,0,0.258064516129032,0.032258064516129,0,0,0.709677419354839,0,0,205.533814458904,4.33706316172923
"27","FALSE",2010,153,22,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,184.325992382494,2.49279355704235
"28","FALSE",2010,153,11,20,0.805,1,0,0,0,0,0,0,0,0,0,0,1,0,0,183.484618503694,0.799699424215601
"29","FALSE",2010,153,17.5,10,0.161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,192.811329033962,0.865766867570394
"30","FALSE",2010,153,13,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,183.554018455522,1.17040245003354
"32","FALSE",2010,153,7.33333333333333,15,0,2,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0,0.933333333333333,0,0,219.362706988336,2.27949081040067
"33","FALSE",2010,152,13.3333333333333,5,0,1,0,0,0,0,0,0,0,0,0,0.870967741935484,0,0.129032258064516,0,264.513553989466,10.8468615052104
"34","FALSE",2010,153,7.41666666666667,10,0,1,0,0,0,0,0,0,0.266666666666667,0.166666666666667,0,0,0.566666666666667,0,0,198.271246655939,4.21395279501097
"35","FALSE",2010,152,13,15,0,1,0,0,0,0,0,0,0.258064516129032,0,0,0.612903225806452,0.032258064516129,0.0967741935483871,0,252.557051918541,1.58532516537542
"36","FALSE",2010,153,10.6666666666667,145,4.023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,195.475528089733,2.27459979694047
"37","FALSE",2010,153,18.8333333333333,30,0,1,0,0,0,0,0,0,0,0,0,0.533333333333333,0.466666666666667,0,0,268.156776918458,2.1195365520451
"38","FALSE",2010,152,18,10,0,1,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,211.935838107271,3.83650888302296
"39","FALSE",2010,153,13.25,10,0,1,0,0,0,0,0,0,0,0.0625,0,0.5625,0.375,0,0,211.766020689854,5.27065630170244
"41","FALSE",2010,153,12.75,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,260.697878585143,0.39102684666028
"42","FALSE",2010,154,11.5166666666667,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,252.237760910615,0.710086356765356
"43","FALSE",2010,154,8.31666666666667,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,263.296325329834,1.06991871903018
"44","FALSE",2010,154,8.65,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,270.05941340064,5.25200145617588
"45","FALSE",2010,154,10.5833333333333,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,257.11824199918,1.9259092935264
"46","FALSE",2010,153,21,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,258.597623347654,1.06480115496089
"47","FALSE",2010,153,15.9166666666667,60,4.828,2,0,0,0,0,0,0,0,0.032258064516129,0.129032258064516,0.838709677419355,0,0,0,269.497921703501,1.27764420469303
"48","FALSE",2010,153,12,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,290.499865284224,0.612535076355097
"50","FALSE",2010,154,7,5,0,1,0,0,0,0.0625,0,0,0.0625,0,0,0.78125,0,0.09375,0,201.808073008097,8.00742130565577
"52","FALSE",2010,153,11,45,1.609,1,0,0,0,0,0,0,0.46875,0.03125,0,0,0.5,0,0,167.692151748998,12.8949229199296
"53","FALSE",2010,152,8,30,0,1,0,0,0,0,0,0,0,0.0333333333333333,0,0.166666666666667,0.8,0,0,222.663090377369,6.52141695208655
"54","FALSE",2010,152,16,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,174.20660029952,5.54760857508764
"57","FALSE",2010,152,11,15,1.609,1,0,0,0,0,0,0,0.0333333333333333,0.0666666666666667,0,0.466666666666667,0.433333333333333,0,0,202.304133810879,4.84347405489652
"58","FALSE",2010,159,11.6166666666667,7,2.414,2,0,0,0,0,0,0,0,0,0,1,0,0,0,284.326272941687,2.22101928964891
"60","FALSE",2010,159,8.66666666666667,9,0.805,2,0,0,0,0,0,0,0.129032258064516,0,0.129032258064516,0.709677419354839,0,0.032258064516129,0,254.169062244422,25.8128978344972
"61","FALSE",2010,155,8,240,0,9,0,0,0,0,0.0666666666666667,0.0333333333333333,0.333333333333333,0,0,0.5,0,0.0666666666666667,0,256.707832493496,25.2971875415043
"62","FALSE",2010,159,9.18333333333333,2,1.609,2,0,0,0,0,0,0,0,0,0,1,0,0,0,266.950545943115,9.41427243098066
"63","FALSE",2010,159,10.75,10,2.414,2,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,264.845490747718,3.82802598321115
"64","FALSE",2010,159,9.43333333333333,3,2.414,2,0,0,0,0,0,0,0,0,0,1,0,0,0,261.953334581598,6.32427510257907
"65","FALSE",2010,159,9.53333333333333,13,2.414,2,0,0,0,0,0,0,0,0,0,0.733333333333333,0.133333333333333,0.133333333333333,0,294.474598944668,5.29723423261304
"66","FALSE",2010,160,17,90,0.805,2,0,0,0,0,0,0,0,0,0,1,0,0,0,470.595396358487,24.7581303260169
"67","FALSE",2010,159,9.75,16,3.219,2,0,0,0,0,0,0,0,0,0,1,0,0,0,269.555352832541,5.4864504983043
"68","FALSE",2010,160,6.33333333333333,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,373.913108967912,11.6462393704264
"69","FALSE",2010,156,17.5,5,0,2,0,0,0,0.0645161290322581,0,0,0,0,0,0.870967741935484,0,0.0645161290322581,0,283.371547255756,15.1832067701383
"70","FALSE",2010,156,16.5,15,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,251.725819252177,4.05096923794903
"71","FALSE",2010,159,13.5,15,1.609,1,0,0,0,0,0,0,0,0,0,0.724137931034483,0.275862068965517,0,0,358.344894670896,4.06369876126847
"72","FALSE",2010,156,19.3333333333333,90,3.766,2,0,0,0,0,0,0,0,0.0666666666666667,0,0.133333333333333,0.8,0,0,389.325461275347,9.95838179140045
"74","FALSE",2010,155,8,10,0,1,0.166666666666667,0,0,0,0,0,0.433333333333333,0.0333333333333333,0.166666666666667,0,0.2,0,0,184.282560526436,9.3888846455786
"75","FALSE",2010,161,6,90,0,1,0,0,0,0,0,0,0.366666666666667,0.133333333333333,0,0.233333333333333,0.266666666666667,0,0,235.975038113065,10.4955500386839
"76","FALSE",2010,156,10.3333333333333,70,3.219,2,0,0,0,0,0,0,0.266666666666667,0.3,0,0,0.433333333333333,0,0,237.922047726141,2.12359603266546
"77","FALSE",2010,155,8,10,0,1,0,0,0,0,0,0.0645161290322581,0.32258064516129,0.0967741935483871,0,0,0.516129032258065,0,0,195.315604393972,11.5270932723935
"79","FALSE",2010,158,6,90,0,1,0,0,0,0.03125,0,0.03125,0.21875,0.0625,0,0.65625,0,0,0,248.875008552851,8.30212244053509
"80","FALSE",2010,158,8,10,0,1,0,0,0,0,0,0,0.0645161290322581,0.419354838709677,0,0.516129032258065,0,0,0,239.758479215811,3.36471055226172
"81","FALSE",2010,158,8,10,0,1,0,0,0,0,0,0,0.466666666666667,0.2,0,0,0.333333333333333,0,0,250.687279530815,6.12636494238994
"82","FALSE",2010,161,7.33333333333333,10,0,2,0,0,0,0,0,0,0,0.290322580645161,0,0.0645161290322581,0.645161290322581,0,0,266.169495372235,6.12339707881153
"84","FALSE",2010,160,7,45,0.402,1,0,0,0,0,0,0,0.03125,0,0,0,0.96875,0,0,242.784904559766,9.10507063861149
"85","FALSE",2010,161,8,10,0,1,0,0,0,0,0,0,0.833333333333333,0.0333333333333333,0,0,0.133333333333333,0,0,258.588172569805,12.9699193101817
"86","FALSE",2010,157,8.16666666666667,10,0.322,1,0,0,0,0,0,0,0.0666666666666667,0.0333333333333333,0,0.2,0.633333333333333,0.0666666666666667,0,249.365789462456,14.5978305742573
"87","FALSE",2010,157,6.43333333333333,5,0,1,0,0,0,0,0,0,0.516129032258065,0.193548387096774,0,0.032258064516129,0.258064516129032,0,0,228.350788378331,5.04380013763573
"89","FALSE",2010,156,8.5,120,3.219,2,0,0,0,0.193548387096774,0,0.032258064516129,0,0,0,0.774193548387097,0,0,0,232.891184815303,8.19999463378674
"91","FALSE",2010,156,8,60,0.805,1,0,0,0,0,0,0.0666666666666667,0.933333333333333,0,0,0,0,0,0,246.595512122047,4.08930983934456
"92","FALSE",2010,156,8,10,0,1,0,0,0,0.225806451612903,0,0.032258064516129,0.516129032258065,0,0,0,0.225806451612903,0,0,206.470987582327,5.14303842420379
"93","FALSE",2010,161,7,190,2.575,1,0,0,0,0.125,0,0,0,0,0,0.84375,0,0.03125,0,236.381354554299,11.2381720179836
"94","FALSE",2010,156,8.08333333333333,5,0,2,0,0,0,0.0666666666666667,0,0,0.433333333333333,0.333333333333333,0,0.0666666666666667,0.1,0,0,259.245632749982,3.84086167386583
"95","FALSE",2010,161,6.16666666666667,5,0,1,0,0,0,0.129032258064516,0,0,0.387096774193548,0.032258064516129,0,0,0.451612903225806,0,0,242.749215424312,12.0341215241468
"96","FALSE",2010,160,12.0833333333333,35,0.161,2,0,0,0,0,0,0,0.4,0.1,0,0,0.5,0,0,220.779203911576,7.80374279531432
"97","FALSE",2010,157,5.38333333333333,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,279.707924426333,1.87135737794743
"98","FALSE",2010,156,8.25,5,0,2,0,0,0,0,0,0,0.0666666666666667,0.166666666666667,0,0.3,0.233333333333333,0.233333333333333,0,247.968006430084,14.5766998166633
"99","FALSE",2010,161,7.96666666666667,5,0,2,0,0,0,0.193548387096774,0,0,0.387096774193548,0.0645161290322581,0,0,0.354838709677419,0,0,242.85751866661,12.7761612353077
"101","FALSE",2010,156,6.25,5,0,2,0,0,0,0.032258064516129,0,0,0.387096774193548,0.290322580645161,0,0.0967741935483871,0.193548387096774,0,0,259.677197933948,3.78279816051938
"102","FALSE",2010,159,8.55,5,0,1,0,0,0,0,0,0,0.548387096774194,0.193548387096774,0,0,0.258064516129032,0,0,249.565792577363,9.00519622709553
"103","FALSE",2010,156,6.95,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,208.332563502884,3.8820404124404
"104","FALSE",2010,157,5.63333333333333,85,1.609,1,0,0,0,0.03125,0,0,0.15625,0,0,0,0.8125,0,0,205.615345797967,1.87380539424121
"105","FALSE",2010,156,6.41666666666667,5,0,2,0,0,0,0,0,0,0,0.0645161290322581,0,0,0.935483870967742,0,0,230.610299797782,5.92930148518272
"106","FALSE",2010,157,6.16666666666667,5,0,2,0,0,0,0.0666666666666667,0,0,0.2,0.1,0,0,0.633333333333333,0,0,205.069945261248,4.17682398441562
"107","FALSE",2010,155,6.15,5,0,3,0,0,0,0,0,0,0.483870967741935,0.193548387096774,0,0,0.32258064516129,0,0,246.900379033963,3.81990310322408
"108","FALSE",2010,157,6.16666666666667,80,1.609,1,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.966666666666667,0,0,199.369606346321,3.08542334549268
"109","FALSE",2010,158,7.83333333333333,5,0,1,0,0,0,0,0,0,0,0,0,0.586206896551724,0.0344827586206897,0.379310344827586,0,257.909729838058,10.3450265012633
"110","FALSE",2010,156,7.5,150,3.219,10,0,0,0,0,0,0,0.266666666666667,0.666666666666667,0,0.0333333333333333,0.0333333333333333,0,0,232.855660684277,3.36741258943335
"111","FALSE",2010,156,7.41666666666667,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,247.577734644172,2.52102860682568
"112","FALSE",2010,157,7.25,5,0,1,0,0,0,0.1,0,0,0.4,0.0666666666666667,0,0,0.433333333333333,0,0,199.573750111139,1.04366850939741
"113","FALSE",2010,157,6.3,5,0,2,0,0,0,0.03125,0,0.09375,0.15625,0,0,0.21875,0.375,0.125,0,235.3248275099,9.08304614571747
"115","FALSE",2010,158,6.75,10,0.152,2,0,0,0,0,0,0,0,0,0,0,1,0,0,206.673207934182,4.33549427453096
"116","FALSE",2010,158,7.25,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,196.657029170203,3.05676113779464
"117","FALSE",2010,158,16.0833333333333,2,0,1,0,0,0,0,0,0,0,0.032258064516129,0,0.935483870967742,0.032258064516129,0,0,231.261683626683,3.18190922419839
"119","FALSE",2010,158,6.5,5,0,1,0,0,0,0,0,0,0.09375,0.3125,0,0,0.59375,0,0,231.912026709034,2.65589927214215
"120","FALSE",2010,156,6.5,5,0,1,0,0,0,0,0,0,0,0,0.0625,0,0.9375,0,0,185.245780945463,2.95665698009616
"121","FALSE",2010,161,6.23333333333333,5,0,1,0,0,0,0,0,0,0,0.533333333333333,0,0.466666666666667,0,0,0,226.892221264988,4.05973502955769
"122","FALSE",2010,160,7.5,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,184.940622810835,1.64629272969049
"123","FALSE",2010,155,5.71666666666667,5,0,1,0,0,0,0,0,0.032258064516129,0,0.032258064516129,0,0.67741935483871,0.032258064516129,0.225806451612903,0,215.210536104591,3.82688989306184
"124","FALSE",2010,161,5.5,5,0,1,0,0,0,0,0,0,0,0.1875,0,0.1875,0.625,0,0,229.848505526992,5.13174923824131
"125","FALSE",2010,161,8.66666666666667,5,0,1,0,0,0,0,0,0,0.0625,0.15625,0,0.375,0.40625,0,0,227.880243207855,2.82474174050315
"126","FALSE",2010,156,6.5,5,0,1,0,0,0,0,0,0,0.40625,0.28125,0,0.09375,0.21875,0,0,232.720592396823,3.05996968638133
"127","FALSE",2010,156,17,90,3.219,1,0,0,0,0,0,0,0,0,0,0,1,0,0,184.275898309604,0.631330203887401
"128","FALSE",2010,155,7.08333333333333,5,0,1,0,0,0,0,0,0,0.21875,0.09375,0,0,0.6875,0,0,214.916377975482,1.991677855082
"130","FALSE",2010,157,8.75,5,0,1,0,0,0,0.1,0,0,0.266666666666667,0.166666666666667,0,0,0.466666666666667,0,0,203.919205145321,4.179126519618
"131","FALSE",2010,157,7.33333333333333,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,219.396740365153,2.16806127454723
"132","FALSE",2010,156,7.91666666666667,5,0,1,0,0,0,0,0,0,0.2,0.0666666666666667,0,0,0.733333333333333,0,0,216.928062750743,9.10744333551402
"133","FALSE",2010,155,7.16666666666667,5,0,1,0,0,0,0,0,0,0.0344827586206897,0,0,0,0.96551724137931,0,0,212.597260284076,7.00408610372957
"134","FALSE",2010,156,4.91666666666667,5,0,1,0,0,0,0,0,0,0,0.67741935483871,0,0.032258064516129,0.290322580645161,0,0,210.752120387497,3.77011039800875
"135","FALSE",2010,160,6.41666666666667,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,228.244410786853,4.87982857077168
"136","FALSE",2010,156,7.33333333333333,5,0,1,0,0,0,0.1,0,0,0.266666666666667,0.1,0,0,0.533333333333333,0,0,201.714736886647,4.58788321974976
"137","FALSE",2010,161,15.25,55,0.966,1,0,0,0,0,0,0,0,0,0,0,1,0,0,183.554018455522,1.17040245003354
"138","FALSE",2010,158,9.33333333333333,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,209.329743850154,0.832496145605105
"139","FALSE",2010,159,6.25,5,0,1,0,0,0,0,0,0,0.21875,0.125,0,0.03125,0.625,0,0,223.672693826222,8.78294806028308
"140","FALSE",2010,158,8.5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,205.543934528168,3.01322645176546
"142","FALSE",2010,161,6,5,0,1,0,0,0,0.0645161290322581,0,0,0.354838709677419,0.0645161290322581,0,0,0.516129032258065,0,0,222.786554045826,10.3260868477452
"143","FALSE",2010,156,6.4,5,0,2,0,0,0,0,0,0,0.0625,0,0,0,0.9375,0,0,201.369128412145,13.4550486956687
"145","FALSE",2010,158,6.75,5,0,1,0,0,0,0,0,0,0,0,0,0.966666666666667,0,0.0333333333333333,0,197.21870396794,4.7315196551204
"146","FALSE",2010,161,6,5,0,1,0,0,0,0.0666666666666667,0,0,0.466666666666667,0.266666666666667,0,0.0333333333333333,0.166666666666667,0,0,211.604566541874,20.9035102383335
"147","FALSE",2010,157,9.08333333333333,5,0,3,0,0,0,0.375,0,0,0.15625,0.03125,0,0,0.4375,0,0,210.39989667763,14.8488963071798
"148","FALSE",2010,158,5.83333333333333,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,189.4100607926,3.43472263642194
"149","FALSE",2010,161,6,5,0,1,0,0,0,0.0625,0,0,0.3125,0.21875,0,0,0.40625,0,0,208.249418968434,18.8062156413277
"150","FALSE",2010,157,6.08333333333333,5,0,1,0,0,0,0.645161290322581,0,0,0.032258064516129,0,0,0,0.32258064516129,0,0,211.776003798746,11.9114125536907
"153","FALSE",2010,156,9,15,0,1,0,0,0,0.4,0,0,0.4,0.0333333333333333,0,0,0.166666666666667,0,0,202.356453074092,11.115886702849
"154","FALSE",2010,157,5.05,5,0,1,0,0,0,0.53125,0,0,0,0,0,0,0.46875,0,0,217.712420872842,5.06340450922542
"156","FALSE",2010,161,6.91666666666667,10,0,1,0,0,0,0,0,0,0.0333333333333333,0.533333333333333,0,0.1,0.333333333333333,0,0,220.158341384274,4.65411239482294
"157","FALSE",2010,160,10.25,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,180.785829024961,2.16563606192555
"158","FALSE",2010,156,10,60,3.219,9,0,0,0,0.3125,0,0,0.40625,0,0,0.0625,0,0.21875,0,266.230770956674,18.1516724294288
"160","FALSE",2010,158,9.11666666666667,5,0,3,0,0,0,0,0,0,0.0333333333333333,0.1,0,0.866666666666667,0,0,0,163.761435034726,4.50880165068188
"161","FALSE",2010,159,8.25,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,193.156188661567,1.10383316453934
"163","FALSE",2010,158,10.8833333333333,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,187.283366826851,7.18011121616153
"165","FALSE",2010,156,5.48333333333333,3,0,1,0,0,0,0.166666666666667,0,0.0333333333333333,0.0333333333333333,0,0,0.366666666666667,0,0.4,0,227.724480717976,3.72162801649281
"166","FALSE",2010,156,5.73333333333333,3,0,1,0,0,0,0.03125,0,0.03125,0.03125,0,0,0.71875,0,0.1875,0,226.18386193736,7.450661344955
"167","FALSE",2010,161,17,120,0,1,0,0,0,0,0,0,0,0,0,0.966666666666667,0.0333333333333333,0,0,237.219827920122,6.2463606897115
"169","FALSE",2010,156,7,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,204.068500571989,0.502930049429342
"170","FALSE",2010,156,9.41666666666667,3,0,1,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,199.227431621634,3.76158937607002
"171","FALSE",2010,156,6,3,0,1,0,0,0,0,0,0,0,0.0645161290322581,0,0.419354838709677,0.516129032258065,0,0,193.277454426498,4.37459237723175
"172","FALSE",2010,157,10.75,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,192.005942139527,0.50384390092028
"174","FALSE",2010,156,10,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,201.607961946427,4.75834245219888
"175","FALSE",2010,157,13.1666666666667,120,1.609,2,0,0,0,0.838709677419355,0.0645161290322581,0.032258064516129,0.032258064516129,0.032258064516129,0,0,0,0,0,160.220133934757,1.74698564283972
"176","FALSE",2010,158,13.3666666666667,6,0.805,3,0,0,0,0,0,0,0,0.129032258064516,0.0645161290322581,0.806451612903226,0,0,0,174.333078082104,0.582517944799375
"178","FALSE",2010,159,13.25,120,3.219,1,0,0,0,0,0,0,0.125,0.375,0,0.21875,0.21875,0.0625,0,313.208312048206,6.34592525026933
"179","FALSE",2010,155,17,60,0,1,0,0,0,0,0,0,0,0.0625,0,0.5625,0.375,0,0,211.766020689854,5.27065630170244
"180","FALSE",2010,160,20,5,0,1,0,0,0,0,0,0,0,0,0,0.0645161290322581,0.935483870967742,0,0,190.004053034164,16.3118947142433
"181","FALSE",2010,159,22.5,10,0.483,1,0,0,0,0,0,0,0,0,0,0.466666666666667,0.533333333333333,0,0,249.824765891404,2.09104552728786
"182","FALSE",2010,159,8.58333333333333,15,0,1,0,0,0,0,0,0,0,0,0,0.96875,0,0.03125,0,239.251082798762,0.771106092022322
"183","FALSE",2010,160,14,180,1.931,3,0,0,0,0.433333333333333,0,0,0,0,0,0.5,0,0.0666666666666667,0,207.35528284606,1.46553344834166
"184","FALSE",2010,155,17,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,202.017452409062,1.33708521103133
"185","FALSE",2010,158,6.5,5,0,1,0,0,0,0,0,0,0,0,0,0.0645161290322581,0.935483870967742,0,0,201.102404853023,2.01692948556091
"186","FALSE",2010,159,11.4166666666667,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,254.407368561571,0.955237926690389
"187","FALSE",2010,160,11.5,10,0,1,0,0,0,0,0,0,0,0,0,0.833333333333333,0.166666666666667,0,0,258.937410615016,2.10636286349904
"188","FALSE",2010,157,20.5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,246.145095204372,2.10279936136692
"189","FALSE",2010,157,17.4166666666667,20,0,1,0,0,0,0,0,0,0,0,0,0.774193548387097,0.225806451612903,0,0,288.988705021641,1.8146715750609
"191","FALSE",2010,158,11.75,22,0.644,1,0,0,0,0,0,0,0,0,0,1,0,0,0,254.477032130444,2.731857965844
"192","FALSE",2010,160,15.6666666666667,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,290.499865284224,0.612535076355097
"195","FALSE",2010,161,18.1333333333333,120,0,1,0.161290322580645,0,0,0,0,0,0,0.032258064516129,0.741935483870968,0.0645161290322581,0,0,0,131.653022959447,2.217941829245
"196","FALSE",2010,156,14.5,120,0,1,0,0,0,0,0,0,0.166666666666667,0.333333333333333,0,0,0.5,0,0,227.796164443904,5.82819705420033
"199","FALSE",2010,157,13.9166666666667,5,0.402,2,0,0,0,0,0,0,0.2,0,0,0,0.8,0,0,210.748849292991,8.28255771510295
"200","FALSE",2010,157,20,20,3.219,1,0,0,0,0,0,0,0,0,0,0,1,0,0,154.835963887476,6.16297782034987
"201","FALSE",2010,156,12.4666666666667,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,253.462033135487,6.12290585054971
"202","FALSE",2010,158,21.0833333333333,5,0,2,0,0,0,0,0,0,0,0.0645161290322581,0,0,0.935483870967742,0,0,252.661346172672,15.0104948085981
"203","FALSE",2010,156,11.25,30,0,1,0,0,0,0.133333333333333,0,0,0.333333333333333,0.166666666666667,0,0,0.366666666666667,0,0,283.388154951213,13.1593729488158
"205","FALSE",2010,155,12.3333333333333,10,0.161,1,0,0,0,0,0,0,0.833333333333333,0.0333333333333333,0,0,0.133333333333333,0,0,280.139938366893,9.84375480498979
"206","FALSE",2010,158,8,300,0,2,0,0,0,0,0,0,0.133333333333333,0.166666666666667,0,0,0.7,0,0,282.885716479759,23.2454292355009
"207","FALSE",2010,158,21.6333333333333,11,0,2,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.933333333333333,0,0,271.840498753069,3.40522033488734
"208","FALSE",2010,160,21.2833333333333,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,222.334092423355,7.61585504562781
"210","FALSE",2010,160,21.55,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,215.369940594758,5.6351512309851
"211","FALSE",2010,156,9.65,11,1.127,1,0,0,0,0,0,0,0.2,0.533333333333333,0,0.0333333333333333,0.233333333333333,0,0,223.722507973765,3.1801505016808
"212","FALSE",2010,158,8.25,10,0,1,0,0,0,0.40625,0,0,0,0,0,0.5625,0,0.03125,0,128.858850003048,1.33713403050359
